Assembly Accession	Assembly Name	Assembly LongName	Assembly Level	Assembly Refseq Category	Assembly BioProject Accession	Organism Taxonomic ID	Organism Name	Assembly BioSample Description Organism Name	ANI Submitted organism	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Accession	Assembly BioSample Sample name	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Collected by	Assembly BioSample Identified by	Assembly BioSample Submission date	Assembly BioSample Publication date	Assembly Sequencing Tech	Assembly Assembly Method
GCA_049764135.1	PDT002721315.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3870	SAMN44017646		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.836	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764155.1	PDT002721314.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3871	SAMN44017647		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.846	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764175.1	PDT002721312.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER3042	SAMN44017468		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.106	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764195.1	PDT002721313.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER2149	SAMN44017450		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:05.920	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764215.1	PDT002721311.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3878	SAMN44017648		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.856	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764235.1	PDT002721310.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3894	SAMN44017649		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.866	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764255.1	PDT002721309.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3925	SAMN44017650		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.876	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764275.1	PDT002721308.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3945	SAMN44017651		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.886	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764295.1	PDT002721307.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3946	SAMN44017652		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.893	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764315.1	PDT002721306.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER3964	SAMN44017653		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.903	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764335.1	PDT002721305.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4004	SAMN44017654		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.913	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764355.1	PDT002721303.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4006	SAMN44017656		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.933	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764375.1	PDT002721304.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4005	SAMN44017655		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.923	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764395.1	PDT002721300.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0481	SAMN44017522		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.616	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764415.1	PDT002721299.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0497	SAMN44017523		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.626	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764435.1	PDT002721301.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0406	SAMN44017521		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.610	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764455.1	PDT002721295.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0594	SAMN44017527		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.666	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764475.1	PDT002721298.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0499	SAMN44017524		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.636	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764495.1	PDT002721296.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0593	SAMN44017526		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.656	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764515.1	PDT002721294.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER2364	SAMN44017456		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:05.980	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764535.1	PDT002721293.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0595	SAMN44017528		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.676	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764555.1	PDT002721292.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0662	SAMN44017529		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.686	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764575.1	PDT002721291.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0663	SAMN44017530		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.696	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764595.1	PDT002721290.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0664	SAMN44017531		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.706	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764615.1	PDT002721288.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0754	SAMN44017533		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.723	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764635.1	PDT002721286.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0838	SAMN44017535		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.743	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764655.1	PDT002721287.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0755	SAMN44017534		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.733	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764675.1	PDT002721285.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER0862	SAMN44017536		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.753	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764695.1	PDT002721283.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER2426	SAMN44017457		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.000	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764715.1	PDT002721284.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER1004	SAMN44017537		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.763	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764735.1	PDT002721282.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER1005	SAMN44017538		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.773	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764755.1	PDT002721280.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER1058	SAMN44017540		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.793	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764775.1	PDT002721281.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER1057	SAMN44017539		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.783	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764795.1	PDT002721279.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER1169	SAMN44017541		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:06.803	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764815.1	PDT002721278.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2338	SAMN44017570		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.113	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764835.1	PDT002721277.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2386	SAMN44017571		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.123	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764855.1	PDT002721276.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2429	SAMN44017572		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.133	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764875.1	PDT002721275.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2430	SAMN44017573		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.143	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764895.1	PDT002721274.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2487	SAMN44017574		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.153	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764915.1	PDT002721273.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2489	SAMN44017575		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.160	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764935.1	PDT002721272.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2490	SAMN44017576		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.170	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764955.1	PDT002721271.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2491	SAMN44017577		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.180	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764975.1	PDT002721270.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER2500	SAMN44017461		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.036	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049764995.1	PDT002721268.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2650	SAMN44017579		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.200	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765015.1	PDT002721269.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2565	SAMN44017578		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.190	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765035.1	PDT002721267.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2718	SAMN44017580		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.210	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765055.1	PDT002721266.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2719	SAMN44017581		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.220	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765075.1	PDT002721265.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2782	SAMN44017582		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.230	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765095.1	PDT002721264.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2821	SAMN44017583		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.236	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765115.1	PDT002721263.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2866	SAMN44017584		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.246	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765135.1	PDT002721262.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2870	SAMN44017585		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.256	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765155.1	PDT002721260.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2899	SAMN44017587		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.276	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765175.1	PDT002721261.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2887	SAMN44017586		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.266	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765195.1	PDT002721259.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER2572	SAMN44017462		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.046	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765215.1	PDT002721257.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2932	SAMN44017589		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.296	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765235.1	PDT002721258.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2900	SAMN44017588		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.286	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765255.1	PDT002721256.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2952	SAMN44017590		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.306	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765275.1	PDT002721255.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER2955	SAMN44017591		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.316	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765295.1	PDT002721254.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4007	SAMN44017657		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.940	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765315.1	PDT002721253.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER3125	SAMN44017469		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.116	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765335.1	PDT002721251.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4038	SAMN44017659		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.960	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765355.1	PDT002721252.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4036	SAMN44017658		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.950	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765375.1	PDT002721250.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4054	SAMN44017660		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.970	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765395.1	PDT002721249.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4055	SAMN44017661		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.980	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765415.1	PDT002721248.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4070	SAMN44017662		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.990	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765435.1	PDT002721247.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4071	SAMN44017663		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:07.996	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765455.1	PDT002721246.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4115	SAMN44017664		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.006	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765475.1	PDT002721245.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4136	SAMN44017665		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.016	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765495.1	PDT002721233.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER3430	SAMN44017474		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.163	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765515.1	PDT002721244.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4139	SAMN44017666		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.026	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765535.1	PDT002721243.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4141	SAMN44017667		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.036	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765555.1	PDT002721242.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		21ER3225	SAMN44017470		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2021	ESR		2024-10-02T04:06:06.126	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765575.1	PDT002721241.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4162	SAMN44017668		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.046	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765595.1	PDT002721240.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4163	SAMN44017669		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.056	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765615.1	PDT002721239.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4175	SAMN44017670		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.063	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765635.1	PDT002721237.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4209	SAMN44017672		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.083	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
GCA_049765655.1	PDT002721238.1		Contig		PRJNA514245	630	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica		22ER4208	SAMN44017671		Homo sapiens	Yersiniosis	clinical		New Zealand	40.90 S 174.88 E	2022	ESR		2024-10-02T04:06:08.073	2024-10-04T00:00:00.000	ILLUMINA	SKESA v. 2.2
